SEAWEA_ID,INDEX,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group,area_poly_id,area_poly_anomalous,critical_reservoir_id
1861,164,6587,SEAWEA_UNKNOWN,Wunihe,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2005,Operational,27.5,86,-999.9,-999.9,-999.9,67.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30,Hydropower,SEAWEA_UNKNOWN,98.821819,24.436888,,,733,,733
1862,165,6589,SEAWEA_UNKNOWN,Ajiutian,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2005,Operational,27,89,-999.9,-999.9,-999.9,0.16,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,115.5,Hydropower,SEAWEA_UNKNOWN,98.851104,24.439334,,,653,,653
1869,166,6681,SEAWEA_UNKNOWN,Duduluo 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2012,Operational,29,65,-999.9,-999.9,-999.9,0.18,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30,Hydropower,SEAWEA_UNKNOWN,98.765532,26.296515,,,-999,,164
1931,167,13730,Hpi Hseng,Hpi Seng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Myanmar,2020,Operational,10,-999.9,-999.9,-999.9,-999.9,4,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,45,Hydropower,SEAWEA_UNKNOWN,97.442327,20.129474,,16,-999,,-999
1940,168,14,Temengor,Temengor,Temenggor,Storage,Malaysia,1978,Operational,127,537,152,108.5055335,129.2,6168,6050,6168,45.1,-999.9,-999.9,235.7799007,101,-999.9,348,Hydropower,Flood control,101.302823,5.40679,162,,841,,841
1941,169,48,Jor,Jor,SEAWEA_UNKNOWN,Run of River,Malaysia,1968,Operational,-99,-999.9,0.3,-999.9,-999.9,3.8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,270,-999.9,150,Hydropower,SEAWEA_UNKNOWN,101.3419248,4.3475372,,,-999,,165
1942,170,1986,Kenering,Kenering,Kenering,Storage,Malaysia,1983,Operational,48,503,40.5,9,40.5,154.1514295,67.48190421,131.0287151,19.5,-999.9,-999.9,110.9299855,34.7,-999.9,120,Hydropower,SEAWEA_UNKNOWN,101.099249,5.215657,64,,839,,839
1943,171,5231,Bersia,Bersia,Bersia,Storage,Malaysia,1983,Operational,33,252,5.576666291,1.621428521,5.3,34.635072,3.14343389,29.4398112,8.5,-999.9,-999.9,141.54195,26.5,-999.9,48,Hydropower,SEAWEA_UNKNOWN,101.210151,5.429853,11,,847,,847
1944,172,5233,Chenderoh,Chenderoh,SEAWEA_UNKNOWN,Storage,Malaysia,1930,Operational,32,390,20.5,14.7,20.5,66.74302171,23.95617797,56.73156845,11.2,-999.9,-999.9,54.85377494,-999.9,-999.9,40.5,Hydropower,SEAWEA_UNKNOWN,100.976042,4.961478,17,,836,,222
1948,173,4115,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SG. Piah Lower,Run of River,Malaysia,1999,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,414,-999.9,54,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.2116667,5.10194444,,,-999,,-999
