SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id
30,1930,Yali Falls,Yali,Ialy,Storage,Vietnam,2001,Operational,69,1190,56.02875446,31.0167533,47.62444129,775.073721,473.9114412,658.8126628,22.9,-999.9,-999.9,502.7477219,180,-999.9,720,Hydropower,Irrigation,107.832322,14.230762,182
31,4896,Haixihai,Haixihai,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1995,Operational,21,91.5,4.288881228,3.613038752,4,61.9,41.9,61.9,15.7,-999.9,-999.9,2125.516882,-999.9,-999.9,61.9,Irrigation,Irrigation,99.978125,26.290762,34
32,4902,Zibihe,Zibihe,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1981,Operational,-99,-99,9.480499357,7.97,8.058424453,95.54978735,11,93.2,11.9,-999.9,-999.9,2044.184287,-999.9,-999.9,93.2,Irrigation,Irrigation,99.955536,26.136007,185
33,5084,Nam Leuk,Nam Leuk,Nam Leuk,Storage,Laos,2000,Operational,45,800,12.8,6.403858592,12.8,185,154,185,20.1,411.5,388,388,46.5,-999.9,60,Hydropower,SEAWEA_UNKNOWN,102.946765,18.439659,105
34,5107,Chulabhorn,Chulabhorn,Chulabhorn,Storage,Thailand,1972,Operational,70,700,12,0.5,12,188,144.5,188,27.1,-999.9,-999.9,745.3411321,-99,-999.9,40,Hydropower,Irrigation,101.650246,16.53714,18
35,5110,Huai Kum,Huai Kum,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1982,Operational,36,282,2.175830185,1.01332802,1.849455657,25.14,20,22.8,12.5,-999.9,-999.9,296.8888535,-99,-999.9,1.2,Hydropower,SEAWEA_UNKNOWN,101.79319,16.41155,40
36,5116,Lam Chamuak,Lam Chang Han,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1992,Operational,18,1785,6.4,4.8,6.4,26,-99,26,5.5,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,102.489583,15.084676,
37,5119,Lamphraphloeng,Lamphraphloeng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1967,Operational,49,575,13.1,0.8,13.1,242,15.93062369,152,15.7,-999.9,-999.9,255.0524574,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,101.839349,14.592853,77
38,6576,Krong Buk Ha,Krong Buk Ha,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,2014,Operational,35,2042,11.76979434,7.752555072,10.1,122.7048078,59.69767549,110,10.9,-999.9,-999.9,478.3999226,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,108.370289,12.778758,72
39,6957,Nakai,Nam Theun 2,Nam Theun 2,Storage,Laos,2010,Operational,39,436,431.2597564,260.5851714,366.5707929,5513.22063,2229.026288,3210,7.8,-999.9,538,530,348,-999.9,1070,Hydropower,Irrigation,104.952263,17.99679,123
40,6959,Nam Ngum 2,Nam Ngum 2,Nam Ngum 2,Storage,Laos,2011,Operational,185,470,122,75.39522769,100,6774,2573.474807,4230,45.2,-999.9,378,355.5040219,146,-999.9,615,Hydropower,SEAWEA_UNKNOWN,102.77657,18.753615,111
41,6960,Nam Ngum 5,Nam Ngum 5,Nam Ngum 5,Storage,Laos,2012,Operational,104,258,15,2.98911166,14.8,-999.9,40.71423359,314,71.2,1104.5,1100,-999.9,337,21.14,120,Hydropower,SEAWEA_UNKNOWN,102.620386,19.355319,112
42,6961,Xekaman 1 Dam,Xe Kaman 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2015,Operational,120,235,124.2767496,102.2619602,105.6352372,5017.881137,3526.518419,4265.198966,31.8,230,230,218,-99,-999.9,290,Hydropower,SEAWEA_UNKNOWN,107.159768,14.960122,176
43,6962,Xekaman 3 Dam,Xe Kaman 3,Xekaman 3,Storage,Laos,2013,Operational,100,540,5.251,3.436891881,5,148.4945389,76.43749617,141,34.3,960,960,925,515,-999.9,250,Hydropower,SEAWEA_UNKNOWN,107.36143,15.425985,177
44,6989,Dachaoshan,Dachaoshan,Da Chao Shan,Storage,China,2002,Operational,115,461,25.74055908,20.83304742,21.87947522,719.7408323,491.1878776,611.7797075,46,-999.9,-999.9,888.6501504,72.5,-999.9,1350,Hydropower,SEAWEA_UNKNOWN,100.368647,24.027054,20
45,7029,Gongguoqiao,Gongguoqiao,Gong Guo Qiao,Storage,China,2012,Operational,105,356,12.90244527,10.66822021,10.96707848,316,120,316,32.8,-999.9,-999.9,1300.236354,58,-999.9,750,Hydropower,SEAWEA_UNKNOWN,99.335411,25.585622,31
46,7089,Buon Tua Srah,Buon Tua Srah,Buon Tua Srah,Storage,Vietnam,2007,Operational,80,-99,34.83035737,21.64927884,31.76,763.1078981,437.9498991,648.6417134,24.9,-999.9,-999.9,479.4580049,-99,-999.9,86,Hydropower,Irrigation,108.043697,12.281214,15
47,7090,Buon Kuop,Buon Kuop,Buon Kuop,Storage,Vietnam,2009,Operational,34,-99,6.921670989,5.545867141,6.82,71.59993165,57.87394399,63,9.3,-999.9,-999.9,412.8772339,98.5,-999.9,280,Hydropower,Irrigation,107.926265,12.530393,14
48,7095,Ea Soup Thuong,Ea Soup Thuong,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,2004,Operational,26,2020,15.28539162,7.653561228,15,112.9627726,37.76271802,96.01835671,11.4,-999.9,-999.9,220.0053597,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,107.935443,13.039576,28
49,7111,Jinghong,Jinghong,Jing Hong,Storage,China,2009,Operational,108,619,33.8130358,28.32635592,28.74108043,1139,249,1139,45.8,-999.9,-999.9,597.8763094,-99,-999.9,1500,Hydropower,SEAWEA_UNKNOWN,100.764486,22.052102,60
50,7129,Plei Krong,Plei Krong,PleiKrong,Storage,Vietnam,2006,Operational,71,495,46.75711229,33.71455016,43.95,1049,948,1049,24,-999.9,-999.9,561.1615094,57.5,-999.9,100,Hydropower,Irrigation,107.864439,14.40999,134
51,7131,Sesan 4,Se San IV,Se San 4,Storage,Vietnam,2008,Operational,74,834,52.68635111,42.29269388,44.78339844,786.1730728,558.5919252,668.2471119,16.9,-999.9,-999.9,215.3210376,-999.9,-999.9,360,Hydropower,Irrigation,107.497264,13.968156,145
52,7160,Nuozhadu,Nuozhadu,Nuozhadu,Storage,China,2014,Operational,262,628,315.0887252,215.3885331,267.8254164,21360.07131,13068.08731,18156.06061,96.5,-999.9,-999.9,776.1090282,187,-999.9,5850,Hydropower,SEAWEA_UNKNOWN,100.429623,22.640879,130
53,7209,Xiaowan,Xiaowan,Xiaowan,Storage,China,2012,Operational,294,893,213.3651545,131.4955882,190,15043,9895,15043,97.7,-999.9,-999.9,1196.170457,216,-999.9,4200,Hydropower,SEAWEA_UNKNOWN,100.093825,24.706595,180
54,7390,Miaowei,Miaowei,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2016,Operational,131,577,20.19044383,17.32317489,17.32317489,784.5332965,599.5176365,660,44.6,-999.9,-999.9,1401.133252,-999.9,-999.9,1400,Hydropower,SEAWEA_UNKNOWN,99.161352,25.855159,93
55,7400,Nam Theun 1 Dam,Nam Theun I,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2021,Operational,177,722,49.02248202,34.84074396,41.66910972,2571.653032,1639.122844,2185.905077,4022.7,297,-999.9,240,140,-999.9,650,Hydropower,SEAWEA_UNKNOWN,104.146278,18.351192,122
56,7404,Nam Ngiep 2,Nam Ngiep II,Nam Ngiep 3A,SEAWEA_UNKNOWN,Laos,2015,Operational,70,110,5.893592454,3.763155423,5.5,172.3230545,71.38053803,152,31.6,-999.9,-999.9,853.0339984,151.3,-999.9,44,Hydropower,SEAWEA_UNKNOWN,103.283656,19.24375,109
57,7644,Phayao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,1,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,Water supply,99.913007,19.160086,
58,7652,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,18,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.71821,18.308549,
